feature_name,category,data_source,observation_frequency,publication_lag,vintage_status,transformation_formula,description
next_week_gold_return,TARGET,COMEX/LBMA,Weekly,Next Friday 17:00 ET,EXACT_PIT,Close(t+1) / Close(t) - 1.0,Primary research prediction target: Gold return over week t+1.
next_week_gold_direction,TARGET,COMEX/LBMA,Weekly,Next Friday 17:00 ET,EXACT_PIT,sign(next_week_gold_return),"Directional return indicator (+1, -1, 0)."
target_p_up,TARGET,COMEX/LBMA,Weekly,Next Friday 17:00 ET,EXACT_PIT,1 if return > 0 else 0,Binary flag: Next week positive return.
target_p_plus_1pct,TARGET,COMEX/LBMA,Weekly,Next Friday 17:00 ET,EXACT_PIT,1 if return > 0.01 else 0,Binary flag: Next week upside breakout > +1.0%.
target_p_minus_1pct,TARGET,COMEX/LBMA,Weekly,Next Friday 17:00 ET,EXACT_PIT,1 if return < -0.01 else 0,Binary flag: Next week downside selloff < -1.0%.
next_week_gold_volatility,TARGET,COMEX/LBMA,Weekly,Next Friday 17:00 ET,EXACT_PIT,(High(t+1) - Low(t+1)) / Close(t),Next week realized weekly high-low range volatility.
gold_return_1w,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,Close(t) / Close(t-1) - 1.0,Gold return during week t.
gold_return_4w,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,Close(t) / Close(t-4) - 1.0,Gold 4-week rolling return.
gold_return_12w,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,Close(t) / Close(t-12) - 1.0,Gold quarterly rolling return.
gold_distance_20w,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,Close(t) / MA_20w(t) - 1.0,Distance to 20-week moving average.
gold_distance_50w,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,Close(t) / MA_50w(t) - 1.0,Distance to 50-week moving average.
gold_trend,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,sign(Close - MA20w) if sign(MA20w - MA50w) matches else 0,"Trend alignment (+1 Bullish, -1 Bearish, 0 Sideways)."
gold_volatility_20w,GOLD_TECHNICAL,COMEX/LBMA,Weekly,0 hours (Fri 17:00 ET),EXACT_PIT,"std(ret_1w, 20w) * sqrt(52)",20-week annualized realized volatility.
real_10y_yield,RATES_BREAKEVENS,FRED (DFII10),Daily,12 hours (Fri close pub Sat AM),EXACT_PIT,Level of 10Y TIPS,10-Year TIPS Real Yield level.
delta_real_yield_1w,RATES_BREAKEVENS,FRED (DFII10),Weekly,12 hours,EXACT_PIT,TIPS(t) - TIPS(t-1),1-week change in 10-Year TIPS real yield.
delta_real_yield_4w,RATES_BREAKEVENS,FRED (DFII10),Weekly,12 hours,EXACT_PIT,TIPS(t) - TIPS(t-4),4-week change in 10-Year TIPS real yield.
us10y,RATES_BREAKEVENS,FRED (DGS10),Daily,12 hours,EXACT_PIT,Level of 10Y Treasury,10-Year US Nominal Treasury Yield.
us2y,RATES_BREAKEVENS,FRED (DGS2),Daily,12 hours,EXACT_PIT,Level of 2Y Treasury,2-Year US Nominal Treasury Yield.
breakeven_10y,RATES_BREAKEVENS,FRED,Daily,12 hours,EXACT_PIT,us10y - real_10y_yield,10-Year Breakeven Inflation Rate.
delta_breakeven_1w,RATES_BREAKEVENS,FRED,Weekly,12 hours,EXACT_PIT,breakeven(t) - breakeven(t-1),1-week change in 10Y Breakeven Inflation.
yield_curve_2s10s,RATES_BREAKEVENS,FRED,Daily,12 hours,EXACT_PIT,us10y - us2y,2s10s Treasury yield curve slope.
dxy,FX,ICE / Yahoo,Daily,0 hours,EXACT_PIT,Level of US Dollar Index,US Dollar Index level.
dxy_return_1w,FX,ICE / Yahoo,Weekly,0 hours,EXACT_PIT,DXY(t) / DXY(t-1) - 1.0,1-week return in US Dollar Index.
dxy_return_4w,FX,ICE / Yahoo,Weekly,0 hours,EXACT_PIT,DXY(t) / DXY(t-4) - 1.0,4-week return in US Dollar Index.
sp500_return_1w,RISK_EQUITIES,S&P / Yahoo,Weekly,0 hours,EXACT_PIT,SPX(t) / SPX(t-1) - 1.0,S&P 500 1-week return.
vix,RISK_EQUITIES,Cboe / Yahoo,Daily,0 hours,EXACT_PIT,Level of VIX,Cboe Volatility Index level.
vix_change_1w,RISK_EQUITIES,Cboe / Yahoo,Weekly,0 hours,EXACT_PIT,VIX(t) - VIX(t-1),1-week change in VIX level.
vix_percentile,RISK_EQUITIES,Cboe / Yahoo,Weekly,0 hours,EXACT_PIT,expanding_quantile(VIX),Point-in-time expanding percentile of VIX.
hy_oas,RISK_EQUITIES,FRED (BAMLH0A0HYM2),Daily,12 hours,EXACT_PIT,Level of US High Yield Option-Adjusted Spread,US High Yield Credit Spread.
cot_net_speculative,POSITIONING,CFTC,Weekly (Tuesday obs),72 hours (Published Friday 15:30 ET),EXACT_PIT,NonComm_Long - NonComm_Short,CFTC COMEX Gold net speculative contracts.
cot_percentile_3y,POSITIONING,CFTC,Weekly,72 hours,EXACT_PIT,expanding_quantile(cot_net_spec),Expanding percentile of COT net speculative positioning.
cot_change_1w,POSITIONING,CFTC,Weekly,72 hours,EXACT_PIT,cot_net_spec(t) - cot_net_spec(t-1),1-week change in COT net speculative contracts.
etf_flow,POSITIONING,GLD / IAU,Weekly,0 hours,EXACT_PIT,Sum of GLD + IAU estimated net weekly flows ($M),Physical Gold ETF weekly fund flows.
etf_flow_percentile,POSITIONING,GLD / IAU,Weekly,0 hours,EXACT_PIT,expanding_quantile(etf_flow),Expanding percentile of weekly ETF flows.
cpi_surprise,MACRO_SURPRISE,BLS,Monthly,Published 08:30 ET,POTENTIAL_REVISION_BIAS,Actual - Consensus,CPI headline monthly surprise.
cpi_zscore,MACRO_SURPRISE,BLS,Monthly,Published 08:30 ET,POTENTIAL_REVISION_BIAS,surprise / expanding_std(prior_surprises),CPI standardized surprise Z-score.
pce_surprise,MACRO_SURPRISE,BEA,Monthly,Published 08:30 ET,POTENTIAL_REVISION_BIAS,Actual - Consensus,PCE headline monthly surprise.
pce_zscore,MACRO_SURPRISE,BEA,Monthly,Published 08:30 ET,POTENTIAL_REVISION_BIAS,surprise / expanding_std(prior_surprises),PCE standardized surprise Z-score.
